614,94,615,146,585.751,94.5433,586.751,146.543
655,149,656,192,632.408,149.525,633.408,192.525
670,152,670,204,641,152,641,204
456,68,413,67,456.537,44.8962,413.537,43.8962
633,70,592,70,633,47.5,592,47.5
698,71,654,71,698,49,654,49
816,72,769,72,816,49.5,769,49.5
1164,83,1118,82,1164.52,58.9896,1118.52,57.9896
518,89,474,90,517.457,65.1033,473.457,66.1033
666,93,616,92,666.547,65.6509,616.547,64.651
1032,159,971,159,1032,133.5,971,133.5
1174,161,1116,161,1174,136.5,1116,136.5
1218,185,1174,186,1217.48,162.012,1173.48,163.012
976,212,937,212,976,190,937,190
639,236,589,236,639,215.5,589,215.5
696,237,644,236,696.54,208.924,644.54,207.924
519,262,463,262,519,237,463,237
639,264,589,263,639.543,236.841,589.543,235.841
696,264,646,264,696,241,646,241
1222,272,1169,267,1224.42,246.323,1171.42,241.323
277,284,234,283,277.597,258.328,234.597,257.328
459,289,408,289,459,266.5,408,266.5
516,290,464,290,516,268.5,464,268.5
693,292,644,292,693,266.5,644,266.5
638,318,588,317,638.572,289.421,588.572,288.421
459,318,407,317,459.478,293.153,407.478,292.153
516,318,464,318,516,297,464,297
693,320,643,319,693.554,292.321,643.554,291.321
866,321,824,320,866.588,296.312,824.588,295.312
1156,325,1111,325,1156,302.5,1111,302.5
278,340,239,338,279.177,317.048,240.177,315.048
341,344,297,343,341.553,319.672,297.553,318.672
281,350,236,351,280.503,327.622,235.503,328.622
807,350,763,350,807,326,763,326
459,374,409,374,459,352.5,409,352.5
514,374,464,374,514,352.5,464,352.5
637,375,587,374,637.569,346.541,587.569,345.541
693,375,642,375,693,354.5,642,354.5
1158,380,1109,381,1157.54,357.601,1108.54,358.601
984,381,939,380,984.551,356.19,939.551,355.19
808,402,771,401,808.598,379.868,771.598,378.868
458,402,409,402,458,380,409,380
514,402,464,402,514,381.5,464,381.5
637,402,587,402,637,381.5,587,381.5
693,403,642,403,693,382,642,382
1214,418,1168,419,1213.51,395.369,1167.51,396.369
458,430,408,430,458,406.5,408,406.5
514,430,464,430,514,406.5,464,406.5
692,431,641,430,692.592,400.816,641.592,399.816
458,456,408,456,458,430.5,408,430.5
514,456,464,456,514,430.5,464,430.5
693,458,642,457,693.514,431.775,642.514,430.775
637,458,584,457,637.468,433.216,584.468,432.216
973,461,934,461,973,438,934,438
1043,463,998,463,1043,440,998,440
1202,468,1162,466,1203.12,445.656,1163.12,443.656
336,482,284,481,336.408,460.796,284.408,459.796
517,485,462,483,517.81,462.72,462.81,460.72
631,481,588,481,631,459,588,459
636,487,587,485,637.032,461.716,588.032,459.716
869,490,817,489,869.451,466.547,817.451,465.547

